Source,Target,Type
14950,21730,Directed
14950,4227,Directed
14950,5742,Directed
14950,21730,Directed
14950,24092,Directed
12429,15246,Directed
12429,26353,Directed
12429,13691,Directed
12429,26193,Directed
12429,24455,Directed
12429,8200,Directed
12429,20145,Directed
12429,10976,Directed
12429,9897,Directed
12429,11484,Directed
12429,11519,Directed
12429,3146,Directed
23450,23450,Directed
23450,15950,Directed
23450,18711,Directed
23450,14196,Directed
23450,21129,Directed
23450,13031,Directed
23450,11377,Directed
23450,15834,Directed
23450,23450,Directed
23450,4333,Directed
23450,12853,Directed
23450,23450,Directed
23450,26014,Directed
23450,3886,Directed
23450,12467,Directed
23450,2040,Directed
23450,19977,Directed
15533,15533,Directed
15533,7092,Directed
15533,16984,Directed
15533,8596,Directed
15533,22694,Directed
15533,25593,Directed
15533,15629,Directed
15533,27708,Directed
15533,15533,Directed
15533,13773,Directed
15533,25379,Directed
15533,20268,Directed
15533,15591,Directed
15533,5474,Directed
15533,15533,Directed
15533,1563,Directed
15533,18404,Directed
15533,3810,Directed
15533,10384,Directed
15533,15533,Directed
15533,13801,Directed
15533,18899,Directed
15533,15533,Directed
15533,21591,Directed
15533,3088,Directed
15533,15533,Directed
15533,27346,Directed
14219,20889,Directed
14219,8993,Directed
14219,27783,Directed
14219,9091,Directed
14219,5,Directed
14219,18250,Directed
14219,13143,Directed
14219,21190,Directed
14219,10292,Directed
14219,18545,Directed
14219,10273,Directed
14219,2269,Directed
14219,12879,Directed
14219,3692,Directed
14219,16330,Directed
14219,14179,Directed
14219,2391,Directed
14219,24898,Directed
14219,20864,Directed
14219,501,Directed
14219,18179,Directed
14219,24242,Directed
14219,8208,Directed
14219,2055,Directed
14219,23020,Directed
21649,21649,Directed
21649,1244,Directed
21649,10515,Directed
21649,19565,Directed
21649,20768,Directed
21649,19834,Directed
21649,12277,Directed
21649,7663,Directed
21649,3305,Directed
21649,6170,Directed
21649,4884,Directed
21649,15693,Directed
21649,5554,Directed
21649,16129,Directed
21649,1549,Directed
21649,9586,Directed
21649,9383,Directed
21649,994,Directed
21649,3250,Directed
21649,3405,Directed
21649,14148,Directed
21649,19629,Directed
21649,18981,Directed
21649,21649,Directed
21649,1547,Directed
21649,4025,Directed
21649,18284,Directed
21649,14124,Directed
21649,21649,Directed
21649,27532,Directed
21649,9562,Directed
21649,14646,Directed
21649,21649,Directed
21649,369,Directed
21649,3917,Directed
21649,21649,Directed
21649,18378,Directed
21649,21649,Directed
21649,23265,Directed
21649,21649,Directed
21649,4406,Directed
21649,21649,Directed
21649,25100,Directed
21649,19493,Directed
21649,8526,Directed
21649,17000,Directed
12833,1678,Directed
12833,24705,Directed
12833,24849,Directed
12833,3813,Directed
12833,19640,Directed
12833,8331,Directed
12833,11357,Directed
12833,21941,Directed
12833,23717,Directed
12833,5141,Directed
12833,2055,Directed
12833,2635,Directed
12833,13336,Directed
12833,26291,Directed
12833,17798,Directed
12833,22117,Directed
12833,26927,Directed
12833,23444,Directed
12833,26050,Directed
12833,11952,Directed
12833,14635,Directed
12833,26103,Directed
12833,10009,Directed
12833,16632,Directed
12833,10548,Directed
12833,13336,Directed
12833,19652,Directed
12833,2691,Directed
12833,7638,Directed
12833,7030,Directed
17237,5919,Directed
17237,24562,Directed
17237,17739,Directed
17237,21248,Directed
17237,9700,Directed
17237,19433,Directed
17237,22175,Directed
17237,9010,Directed
17237,13913,Directed
17237,15639,Directed
17237,10808,Directed
17237,5919,Directed
17237,26548,Directed
17237,9587,Directed
17237,5919,Directed
17237,15330,Directed
17237,9801,Directed
17237,5919,Directed
17237,20259,Directed
19952,20238,Directed
19952,7411,Directed
19952,22158,Directed
19952,3785,Directed
19952,1962,Directed
19952,14451,Directed
19952,13851,Directed
19952,5141,Directed
19952,20238,Directed
19952,19243,Directed
18835,2404,Directed
18835,3818,Directed
18835,8789,Directed
18835,12552,Directed
18835,2404,Directed
18835,21405,Directed
18835,14920,Directed
21396,4080,Directed
21396,27583,Directed
21396,15123,Directed
21396,11519,Directed
21396,26820,Directed
21396,16265,Directed
21396,23066,Directed
21396,17367,Directed
21396,27542,Directed
21396,26780,Directed
21396,10973,Directed
21396,2504,Directed
21396,15347,Directed
21396,24024,Directed
21396,14919,Directed
21396,22730,Directed
24538,23209,Directed
24538,14638,Directed
24538,11844,Directed
24538,5373,Directed
24538,26729,Directed
24538,2727,Directed
24538,7529,Directed
24538,11958,Directed
24538,26875,Directed
24538,21935,Directed
11860,14387,Directed
11860,27618,Directed
11860,266,Directed
11860,26089,Directed
11860,121,Directed
11860,13523,Directed
11860,22024,Directed
11860,16725,Directed
11860,19843,Directed
11860,9687,Directed
11860,18238,Directed
11860,4888,Directed
11860,9780,Directed
18048,3936,Directed
18048,6098,Directed
18048,13274,Directed
18048,377,Directed
18048,7019,Directed
2969,2969,Directed
2969,16917,Directed
2969,5998,Directed
2969,13478,Directed
2969,2969,Directed
2969,3021,Directed
2969,12545,Directed
27090,10871,Directed
27090,18311,Directed
27090,21635,Directed
27090,24601,Directed
27090,23152,Directed
27090,15390,Directed
27090,7290,Directed
27090,1438,Directed
27090,16301,Directed
27090,2132,Directed
27090,12927,Directed
27090,8129,Directed
27090,11084,Directed
27090,22654,Directed
27090,13694,Directed
27090,23987,Directed
27090,1465,Directed
27090,15606,Directed
27090,26498,Directed
27090,26470,Directed
27090,18268,Directed
27090,25129,Directed
27090,18345,Directed
27090,9407,Directed
27090,24601,Directed
27090,4615,Directed
27090,13694,Directed
27090,27090,Directed
27090,22053,Directed
27090,11304,Directed
27090,16738,Directed
27090,18469,Directed
27090,17284,Directed
27090,8008,Directed
22431,21042,Directed
22431,24689,Directed
22431,11891,Directed
22431,3210,Directed
22431,12643,Directed
22431,712,Directed
22431,17388,Directed
22431,24110,Directed
22431,13106,Directed
22431,15110,Directed
22431,26705,Directed
22431,18951,Directed
22431,5987,Directed
22431,9796,Directed
22431,24689,Directed
22431,22205,Directed
22431,3210,Directed
22431,11212,Directed
22431,26705,Directed
22431,17195,Directed
22431,22528,Directed
22431,16101,Directed
22431,1284,Directed
22431,14131,Directed
22431,23766,Directed
22431,18273,Directed
22431,17195,Directed
22431,5129,Directed
22431,8053,Directed
22431,17195,Directed
22431,10218,Directed
22431,10997,Directed
22431,17195,Directed
22431,17904,Directed
18179,19622,Directed
18179,27539,Directed
18179,4160,Directed
18179,6301,Directed
18179,14200,Directed
18179,5573,Directed
